Name,Type,Style,Source
Pontiglio,White,Light and Crisp,"Corfu, Greece"
Horse Vasiliki Parliarou,White,Light and Crisp,"Attiki, Greece"
Zacharias Winery Synastry,White,Light and Crisp,"Peloponnese, Greece"
Kritikos Boutari Winery,White,Light and Crisp,"Crete, Greece"
Corfiata,White,Juicy and Aromatic,"Corfu, Greece"
Zacharias Winery,White,Juicy and Aromatic,"Peloponnese, Greece"
Ekdosis Proti,White,Juicy and Aromatic,"Florina, Greece"
Estate Petriessa,White,Juicy and Aromatic,"Viotia, Greece"
Ionos Cavino,White,Juicy and Aromatic,"Peloponnese, Greece"
Synastry Zacharias Winery,White,Full and Opulent,"Peloponnese, Greece"
Estate Petriessa,White,Full and Opulent,"Evoia, Greece"
Toso,White,Full and Opulent,"Piemonte, Italy"
Mati Fortuna Astir X,Rosé,Light and Crisp,"Peloponnese, Greece"
Vasiliki Parliarou,Rosé,Light and Crisp,"Peloponnese, Greece"
GR Margetis Greek Wines,Rosé,Light and Crisp,"Megara, Greece"
Kokotos Estate,Rosé,Light and Crisp,"Evia, Greece"
Simeio Stixis Boutari Winery,Rosé,Juicy and Aromatic,"Macedonia, Greece"
Ekdosis Proti,Rosé,Juicy and Aromatic,"Florina, Greece"
Estate Petriessa,Rosé,Juicy and Aromatic,"Evoia, Greece"
Valoninsa,Rosé,Juicy and Aromatic,"Corfu, Greece"
Charites Petres Konstantara Winery,Rosé,Juicy and Aromatic,"Chalkidiki, Greece"
Kritikos Boutari Winery,Red,Fruity and Lively,"Crete, Greece"
Kintonis Estate,Red,Fruity and Lively,"Peloponnese, Greece"
Mavros Kiknos,Red,Fruity and Lively,"Peloponnese, Greece"
Michalakis Estate,Red,Fruity and Lively,"Crete, Greece"
Erochos Argyriou Winery,Red,Ripe and Smooth,"Fokida, Greece"
Captain Red,Red,Ripe and Smooth,"Megara, Greece"
Horse Vasiliki Parliarou,Red,Ripe and Smooth,"Peloponnese, Greece"
Synastry Zacharias Winery,Red,Ripe and Smooth,"Peloponnese, Greece"
Eros & Psyche Argyropoulos Winery,Red,Rich and Dense,"Macedonia, Greece"
Mati Fortuna Astir-X,Red,Rich and Dense,"Peloponnese, Greece"
Estate Petriessa,Red,Rich and Dense,"Evoia, Greece"
Millesimato Brut,Sparkling,,"Italy"
Toso,Sparkling,,"Piemonte, Italy"
Fiorelli Spumante Toso Rose,Sparkling,,"Piemonte, Italy"
Samos Vin Doux EOS Samos,Dessert and Fortified,,"Samos, Greece"
Mavrodaphne Deus Patras Cavino,Dessert and Fortified,,"Peloponnese, Greece"
