Name,Type,Style,Source
Pontiglio,White,Light and Crisp,"Corfu, Greece"
Horse Vasiliki Parliarou,White,Light and Crisp,"Attiki, Greece"
Zacharias Winery Synastry,White,Light and Crisp,"Peloponnese, Greece"
Kritikos Boutari Winery,White,Light and Crisp,"Crete, Greece"
Corfiata,White,Juicy and Aromatic,"Corfu, Greece"
Zacharias Winery,White,Juicy and Aromatic,"Peloponnese, Greece"
Ekdosis Proti,White,Juicy and Aromatic,"Florina, Greece"
Estate Petriessa,White,Juicy and Aromatic,"Viotia, Greece"
Ionos Cavino,White,Juicy and Aromatic,"Peloponnese, Greece"
Synastry Zacharias Winery,White,Full and Opulent,"Peloponnese, Greece"
Toso,White,Full and Opulent,"Piemonte, Italy"
Mati Fortuna Astir X,Rosé,Light and Crisp,"Peloponnese, Greece"
Vasiliki Parliarou,Rosé,Light and Crisp,"Peloponnese, Greece"
GR Margetis Greek Wines,Rosé,Light and Crisp,"Megara, Greece"
Kokotos Estate,Rosé,Light and Crisp,"Evia, Greece"
Simeio Stixis Boutari Winery,Rosé,Juicy and Aromatic,"Macedonia, Greece"
Valoninsa,Rosé,Juicy and Aromatic,"Corfu, Greece"
Charites Petres Konstantara Winery,Rosé,Juicy and Aromatic,"Chalkidiki, Greece"
Kintonis Estate,Red,Fruity and Lively,"Peloponnese, Greece"
Mavros Kiknos,Red,Fruity and Lively,"Peloponnese, Greece"
Michalakis Estate,Red,Fruity and Lively,"Crete, Greece"
Erochos Argyriou Winery,Red,Ripe and Smooth,"Fokida, Greece"
Captain Red,Red,Ripe and Smooth,"Megara, Greece"
Eros & Psyche Argyropoulos Winery,Red,Rich and Dense,"Macedonia, Greece"
Mati Fortuna Astir-X,Red,Rich and Dense,"Peloponnese, Greece"
Millesimato Brut,Sparkling,,Italy
Fiorelli Spumante Toso Rose,Sparkling,,"Piemonte, Italy"
Samos Vin Doux EOS Samos,Dessert and Fortified,,"Samos, Greece"
Mavrodaphne Deus Patras Cavino,Dessert and Fortified,,"Peloponnese, Greece"
Omikron Zacharias Winery,White,Light and Crisp,"Peloponnese, Greece"
Dimitra Filyra,White,Light and Crisp,"Peloponnese, Greece"
Astir X Anima,White,Juicy and Aromatic,"Peloponnese, Greece"
Charles Rouseau,White,Full and Opulent,"Pays D'Oc, France"
Campo de Chile,White,Full and Opulent,"Central Valley, Chile"
Moderne Allegorie,White,Full and Opulent,"Sterea Ellada, Greece"
Demi-Sec Boutari Winery,Rosé,Light and Crisp,"Crete, Greece"
Notos Kanakaris Winery,Rosé,Juicy and Aromatic,"Peloponnese, Greece"
Pandora Cavino,Rosé,Juicy and Aromatic,"Peloponnese, Greece"
Irida Cavino,Rosé,Juicy and Aromatic,"Achaia, Greece"
Villa des Croix,Red,Fruity and Lively,"Languedoc, France"
Philoxenia,Red,Fruity and Lively,"Achaia, Greece"
Life Choice,Red,Fruity and Lively,"Peloponnese, Greece"
Imeros,Red,Ripe and Smooth,"Vaeni Naoussa, Greece"
Pumbing Jack Crazy Animals Winery,Red,Ripe and Smooth,"Dunantul, Hungary"
Echenor,Red,Rich and Dense,"Mendoza, Argentina"
Sungate Winery,Red,Rich and Dense,"California, U.S.A"
Ploes Amalagos Winery,Red,Rich and Dense,"Drama, Greece"
Cuvée Laurent,Sparkling,,"Vin De Pays, France"
Monmarte Brut,Sparkling,,"Vin De Pays, France"
El Campo Reserva Privada,White,Light and Crisp,"Central Valley, Chile"
Cape Creek,White,Light and Crisp,"Western Cape, South Africa"
Félix Solís Consigna,White,Juicy and Aromatic,"Castilla, Spain"
Félix Solís Arnegui,White,Full and Opulent,"Rioja, Spain"
Fox Grove,White,Full and Opulent,"South Eastern Australia, Australia"
Mikros Vorias,White,Full and Opulent,"Peloponnese, Greece"
White Zinfandel Sungate Winery,Rosé,Light and Crisp,"California, U.S.A"
Calliga Rubi de Noir,Red,Fruity and Lively,"Attiki, Greece"
Monograph Gaia Estate,Red,Fruity and Lively,"Peloponnese, Greece"
Cape Spring,Red,Ripe and Smooth,"Western Cape, South Africa"
Blender Akriotou Winery,Red,Ripe and Smooth,"Voiotia, Greece"
Umbala,Red,Ripe and Smooth,"Western Cape, South Africa"
Alba De Luces,Red,Rich and Dense,"Roja, Spain"
Next Kangaroo,Red,Rich and Dense,South Australia
Yoga,Red,Rich and Dense,"Sicily, Italy"
Atelier Cavino Winery,White,Light and Crisp,"Peloponnese, Greece"
The Duck Filia Gi Winery,White,Juicy and Aromatic,"Thessaly, Greece"
Feast Semeli Estate,White,Juicy and Aromatic,"Peloponnese, Greece"
Margaritari,White,Juicy and Aromatic,"Kontos Winery, Greece"
M3 Michalakis Estate,White,Juicy and Aromatic,"Crete, Greece"
Petriessa Mikro Vathy,Rosé,Light and Crisp,"Evoia, Greece"
Enotria,Rosé,Juicy and Aromatic,"Douloufali Estate Crete, Greece"
Piroga Tsililis Winery,Rosé,Juicy and Aromatic,"Tyrnavos, Greece"
Nestor Avarino,Red,Fruity and Lively,"Messinia, Greece"
Paraga Kir-Yianni Estate,Red,Ripe and Smooth,"Amyndeon, Greece"
Crabo,White,Light and Crisp,"Lombardy, Italy"
Party Beast Crazy Animals Winery,White,Light and Crisp,"Dunantul, Hungary"
Natale Verga,White,Light and Crisp,"Delle Venezie, Italy"
Villa Italia,White,Light and Crisp,"Veneto, Italy"
Pasqua,White,Juicy and Aromatic,"Di Puglia, Italy"
Fina Kebrilla,White,Juicy and Aromatic,"Terre Siciliane, Italy"
Lungarotti,White,Full and Opulent,"Umbria, Italy"
Tonno,White,Full and Opulent,"Terre Siciliane, Italy"
Vaja,Rosé,Light and Crisp,"Pinot Grigio, Italy"
Koiboy Crazy Animals Winery,Rosé,Light and Crisp,"Dunantul, Hungary"
Villa Cardini Bardolino Chiaretto,Rosé,Light and Crisp,"Valpolicella, Italy"
Just Chill Just Wines,Rosé,Juicy and Aromatic,"Veneto, Italy"
Vitis Nostra,Rosé,Juicy and Aromatic,"Veneto, Italy"
GR Margetis Winery Greece,Red,Fruity and Lively,"Megara, Greece"
Terre Siciliane Barbanera,Red,Ripe and Smooth,Italy
Montepulciano d'Abruzzo,Red,Ripe and Smooth,"Ventiterre, Italy"
Raccolto Teree Siciliane Bio,Red,Rich and Dense,"Sicily, Italy"
Allergo,Red,Rich and Dense,"Puglia, Italy"
Chianti Natale Verga D.O.C.O,Red,Rich and Dense,"Tuscany, Italy"
Marcel Martin,Rosé,Light and Crisp,"Pays D'Oc, France"
Rosato Vasiliki Parliarou,Rosé,Light and Crisp,"Peloponnese, Greece"
Captain Rose,Rosé,Light and Crisp,"Margetis, Megara, Greece"
Baron D'Arignac,Rosé,Juicy and Aromatic,"Languedoc-Roussillon, France"
Toupe Amphora Akriotou Winery,Rosé,Juicy and Aromatic,"Sterea Ellada, Greece"
Corte Dorata,White,Light and Crisp,"Veneto, Italy"
Imeros Blanc De Noir,White,Juicy and Aromatic,"Vaeni Naoussa, Greece"
Hans Baer Winery,White,Juicy and Aromatic,"Rheinhessen, Germany"
Crudo Nordic See Winery,White,Juicy and Aromatic,"Terre Siciliane, Italy"
Toso Dolce,Sparkling,,"Piemonte, Italy"
Moscato D'Asti Truffle Hunter,Sparkling,,"Asti, Italy"
Toso Brut,Sparkling,,"Piemonte, Italy"
Félix Solís Duet Mousseux Sec Rosé,Sparkling,,"La Mancha, Spain"
Fiorelli Fragolino Toso,Sparkling,,"Piemonte, Italy"
Villa Cardini Nero Valpolicella,Red,Fruity and Lively,"Valpolicela, Italy"
Roc D'Opale,Red,Fruity and Lively,"Pays D'Oc, France"
Notos Semi-Sweet,Red,Ripe and Smooth,"Peloponnese, Greece"
Manifesto,Red,Rich and Dense,"Terre Siciliane, Italy"
Domaine Masson,Rosé,Light and Crisp,"Coteaux Varoi, France"
Fortant De France,Rosé,Light and Crisp,"Languedoc, France"
Cruset,Rosé,Juicy and Aromatic,"Vin de France, France"
Terres Cortal,Rosé,Juicy and Aromatic,"Pays D'Oc, France"
Domaine De La Baume,Rosé,Juicy and Aromatic,"Languedoc, France"
Sorokos,White,Juicy and Aromatic,"Thessaloniki, Greece"
